
Retirement Calculator
----------------------------------
Current Age: 50
Retirement Age: 65
Starting Money: US$40k
Retirement Age: US$65k
Annual Saving Percentage: 12%
Annual Return on Investment: 5%
----------------------------------
Age 	 Contribution 	 Prev_Saving 	 Interest 	 Total
   	 (1000 US$) 	 (1000 US$) 	 (1000 US$) 	 (1000 US$)
50 	 40.00 	 0.00 	0.00  	 40.00
51 	 12.00 	 40.00 	2.00  	 54.00
52 	 12.00 	 54.00 	2.70  	 68.70
53 	 12.00 	 68.70 	3.44  	 84.14
54 	 12.00 	 84.14 	4.21  	 100.34
55 	 12.00 	 100.34 	5.02  	 117.36
56 	 12.00 	 117.36 	5.87  	 135.23
57 	 12.00 	 135.23 	6.76  	 153.99
58 	 12.00 	 153.99 	7.70  	 173.69
59 	 12.00 	 173.69 	8.68  	 194.37
60 	 12.00 	 194.37 	9.72  	 216.09
61 	 12.00 	 216.09 	10.80  	 238.90
62 	 12.00 	 238.90 	11.94  	 262.84
63 	 12.00 	 262.84 	13.14  	 287.98
64 	 12.00 	 287.98 	14.40  	 314.38
65 	 12.00 	 314.38 	15.72  	 342.10

